GENESIS-Tabelle: 61511-111r
Bauland: Gemeinden, Veräußerungsfälle, veräußerte Fläche,;;;;;;;;;;;;;;;;;
Kaufpreis, durchschnittliche Kaufwerte (EUR/qm),;;;;;;;;;;;;;;;;;
Baulandarten, Jahr (ab 2010);;;;;;;;;;;;;;;;;
Statistik der Kaufwerte für Bauland;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;
;;Veräußerungsfälle;;Veräußerungsfälle;;Veräußerte Fläche;;Veräußerte Fläche;;Verkaufspreis;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;
;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;
;;Anzahl;;Anzahl;;1000 qm;;1000 qm;;Tsd. EUR;;Tsd. EUR;;EUR/qm;;EUR/qm;
09176165;      Walting;3;e;3;e;2;e;2;e;160;e;160;e;75,87;e;75,87;e
09176166;      Wellheim, M;5;e;3;e;7;e;3;e;287;e;.;.;42,63;e;.;.
09176167;      Wettstetten;20;e;19;e;13;e;12;e;8036;e;.;.;603,29;e;.;.
09176444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09177;    Erding (Lkr);232;e;203;e;488;e;355;e;149476;e;135813;e;306,44;e;382,88;e
09177112;      Berglern;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09177113;      Bockhorn;5;e;5;e;3;e;3;e;547;e;547;e;200,00;e;200,00;e
09177114;      Buch a.Buchrain;7;e;7;e;9;e;9;e;951;e;951;e;108,49;e;108,49;e
09177115;      Dorfen, St;42;e;41;e;30;e;27;e;12101;e;.;.;405,19;e;.;.
09177116;      Eitting;3;e;3;e;4;e;4;e;773;e;773;e;179,38;e;179,38;e
09177117;      Erding, GKSt;18;e;17;e;137;e;135;e;89705;e;.;.;653,57;e;.;.
09177118;      Finsing;7;e;7;e;14;e;14;e;3901;e;3901;e;277,25;e;277,25;e
09177119;      Forstern;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09177120;      Fraunberg;16;e;14;e;25;e;21;e;3014;e;.;.;118,81;e;.;.
09177121;      Hohenpolding;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09177122;      Inning a.Holz;1;e;1;e;21;e;21;e;.;.;.;.;.;.;.;.
09177123;      Isen, M;5;e;5;e;7;e;7;e;1638;e;1638;e;240,84;e;240,84;e
09177124;      Kirchberg;33;e;32;e;26;e;25;e;3943;e;.;.;150,16;e;.;.
09177126;      Langenpreising;4;e;4;e;15;e;15;e;1455;e;1455;e;99,92;e;99,92;e
09177127;      Lengdorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09177130;      Moosinning;5;e;4;e;3;e;2;e;1218;e;.;.;351,01;e;.;.
09177131;      Neuching;16;e;2;e;26;e;1;e;5286;e;.;.;206,24;e;.;.
09177133;      Oberding;3;e;2;e;38;e;3;e;4143;e;.;.;110,05;e;.;.
09177134;      Ottenhofen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09177135;      Pastetten;7;e;2;e;18;e;1;e;3497;e;.;.;192,51;e;.;.
09177137;      Sankt Wolfgang;2;e;2;e;3;e;3;e;.;.;.;.;.;.;.;.
09177138;      Steinkirchen;5;e;5;e;3;e;3;e;620;e;620;e;186,60;e;186,60;e
09177139;      Taufkirchen (Vils);24;e;23;e;43;e;42;e;6661;e;.;.;155,68;e;.;.
09177142;      Walpertskirchen;1;e;1;e;0;e;0;e;.;.;.;.;.;.;.;.
09177143;      Wartenberg, M;21;e;19;e;57;e;12;e;5668;e;.;.;99,01;e;.;.
09177144;      Wörth;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09178;    Freising (Lkr);251;e;178;e;349;e;153;e;112085;e;82008;e;321,25;e;535,23;e
09178113;      Allershausen;3;e;3;e;1;e;1;e;400;e;400;e;306,51;e;306,51;e
09178115;      Attenkirchen;11;e;6;e;7;e;5;e;1839;e;1566;e;248,81;e;289,38;e
09178116;      Au i.d.Hallertau, M;18;e;14;e;27;e;16;e;2381;e;1895;e;89,58;e;118,42;e
09178120;      Eching;15;e;7;e;18;e;5;e;7678;e;6118;e;429,45;e;1119,14;e
09178122;      Rudelzhausen;3;e;2;e;3;e;2;e;592;e;.;.;234,46;e;.;.
09178123;      Fahrenzhausen;10;e;8;e;10;e;8;e;4879;e;.;.;473,56;e;.;.
09178124;      Freising, GKSt;34;e;23;e;82;e;28;e;34861;e;26128;e;426,22;e;944,32;e
09178125;      Gammelsdorf;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09178129;      Haag a.d.Amper;5;e;4;e;4;e;4;e;729;e;.;.;179,58;e;.;.
09178130;      Hallbergmoos;37;e;27;e;46;e;12;e;14528;e;5366;e;312,93;e;440,09;e
09178132;      Hörgertshausen;3;e;2;e;2;e;1;e;270;e;.;.;132,36;e;.;.
09178133;      Hohenkammer;1;e;1;e;0;e;0;e;.;.;.;.;.;.;.;.
09178136;      Kirchdorf a.d.Amper;16;e;14;e;8;e;7;e;2323;e;.;.;290,62;e;.;.
09178137;      Kranzberg;6;e;4;e;14;e;13;e;1828;e;.;.;128,12;e;.;.
09178138;      Langenbach;3;e;2;e;6;e;1;e;433;e;.;.;76,02;e;.;.
09178140;      Marzling;4;e;1;e;11;e;1;e;613;e;.;.;53,94;e;.;.
09178142;      Mauern;22;e;22;e;12;e;12;e;4029;e;4029;e;335,50;e;335,50;e
09178143;      Moosburg a.d.Isar, St;17;e;10;e;55;e;6;e;11797;e;3999;e;215,92;e;696,14;e
